profile,n,meas_up,meas_dn
ed25519,1,1,1
ed25519,5,1,1
ed25519,10,2,1
ed25519,20,3,1
mldsa44,1,10,1
mldsa44,5,24,1
mldsa44,10,41,1
mldsa44,20,77,1
mldsa65,1,13,1
mldsa65,5,33,1
mldsa65,10,58,1
mldsa65,20,110,1
mldsa87,1,18,1
mldsa87,5,45,1
mldsa87,10,80,1
mldsa87,20,150,1
fndsa512,1,4,1
fndsa512,5,10,1
fndsa512,10,17,1
fndsa512,20,32,1
fndsa1024,1,7,1
fndsa1024,5,19,1
fndsa1024,10,33,1
fndsa1024,20,62,1
slhdsa128s,1,22,1
slhdsa128s,5,52,1
slhdsa128s,10,90,1
slhdsa128s,20,164,1
slhdsa128f,1,48,1
slhdsa128f,5,113,1
slhdsa128f,10,194,1
slhdsa128f,20,355,1
slhdsa256s,1,85,1
slhdsa256s,5,196,1
slhdsa256s,10,339,1
slhdsa256s,20,614,1
slhdsa256f,1,142,1
slhdsa256f,5,331,1
slhdsa256f,10,562,1
slhdsa256f,20,1024,1
hyb-ed-mldsa44,1,10,1
hyb-ed-mldsa44,5,24,1
hyb-ed-mldsa44,10,42,1
hyb-ed-mldsa44,20,79,1
hyb-ed-fndsa512,1,4,1
hyb-ed-fndsa512,5,11,1
hyb-ed-fndsa512,10,18,1
hyb-ed-fndsa512,20,34,1
mix-mldsa87-fndsa512,1,13,1
mix-mldsa87-fndsa512,5,19,1
mix-mldsa87-fndsa512,10,26,1
mix-mldsa87-fndsa512,20,41,1
mix-slh256s-fndsa512,1,57,1
mix-slh256s-fndsa512,5,64,1
mix-slh256s-fndsa512,10,71,1
mix-slh256s-fndsa512,20,87,1
mix-mldsa87-mldsa44,1,15,1
mix-mldsa87-mldsa44,5,29,1
mix-mldsa87-mldsa44,10,46,1
mix-mldsa87-mldsa44,20,83,1
